Location,Date,Pork Skins Large,PS Total FG LBS,PS Seasoning Used,PS Actual FG LBS,PS Fried Lbs,PS Waste Lbs,PS Overweight reported,PS % Waste,PS Yield,% Bellies Used,ST Fried Lbs,ST Finished Goods Lbs,Mix Fix lbs Produced,Cheese Curls lbs Used,% Cheese Product,ST Waste Lbs,ST % Waste,ST Yield,CR Fried Lbs,CR Finished Goods Lbs,CR Waste Lbs,CR % Waste,CR Yield,TR Fried Lbs,TR Finished Goods Lbs,TR Waste Lbs,TR % Waste,TR Yield,BL Fried Lbs,BL Finished Goods Lbs,BL Waste Lbs,BL % Waste,BL Yield,RTE CR Fried Lbs,RTE CR Finished Goods Lbs,RTE CR Waste Lbs,RTE CR % Waste,RTE CR Yield,CR TT Fried Lbs,CR TT Finished Goods Lbs,Cheese Curls lbs Used1,CR TT Waste Lbs,CR TT % Waste,CR TT Yield,TT Fried Lbs Total,TT Finished Goods Lbs Total,Finished Goods CASES Total,TT Bags Produced,Daily Changeovers,MH Trainings,MH Direct for Clips/Displays,MH Direct for Bulk,H Prod Hrs Used For Maint,MH Direct Labor,MH Indirect Labor,Productivity,PRd Fried Direct Labor lbs/hr,Prd Fried Indirect Labor lbs/hr,Prd FG Direct Labor lbs/hr,Prd FG Indirect Labor lbs/hr,Prd Bags/hr Direct Labor,Prd Bags/hr Indirect Labor,WeekC,Incidents (blank or # of recordable incidents that day),Days safe (No need to type anything),IFR (No need to type anything),"Training compliance (fill #actual / #plan %, monthly)",Comments Safety,Comments on intiatives,NR's (weekly),Complaints (weekly),"Holds (weekly, number)",Comments on Quality,OTIF,Cases cut,Outages,Comments on Service,Comments on Lbs & Yields,Comments on productivity,Comments on pellets Lbs & Yields
CAL,16-Apr-18,,5800,,5800,3970,,,0.00%,146.10%,96.00%,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,3970,5800,2637,31644,2,,69,,,123,51.5,,32.28,77.0873786407767,47.15,112.621359223301,257.27,614.446601941748,15-Apr-18,,5,,,,,,,,,,,,,,,
CAL,15-Apr-18,,0,,0,,,,#DIV/0!,#DIV/0!,,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,15-Apr-18,,4,,,No incidents last week,,,,,One complaint a customer felt ill after he ates a pork skin bag. Product will send to cehck for any bateria growth.,,,,"One 99 cents load sent 4 clip and strips pallets short, staff personel absent affected productivity.",Good yields on skins driven by the use of Gaytan skins. Acceptable yields on cracklins.,Low productivuty yield because of the people used on the displays assembly for 99 cents. We assembly 304 displays pallets in 4 days.,
CAL,14-Apr-18,,5405,,5405,3804,34,,0.63%,142.09%,87.00%,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,3804,5405,2792,33504,1,,72.25,,,127.25,49.75,% OT,29.89,76.462311557789,42.48,108.643216080402,263.29,673.447236180905,08-Apr-18,,3,,,,,,,,,,,,,,,
CAL,13-Apr-18,,0,,0,,,,#DIV/0!,#DIV/0!,,7360,6360,,,,78,1.23%,86.41%,7360,6360,636,1.23%,86.41%,,,,,,,,,,,,,,,,7360,6360,0,78,1.23%,86.41%,7360,6360,636,636,1,,,,,39.75,53,,185.16,138.867924528302,160.00,120,16.00,12,08-Apr-18,,2,,,,,,,,,,,,,,,
CAL,12-Apr-18,,5231,,5231,3936,113,,2.16%,132.90%,90.00%,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,3936,5231,2530,30360,4,,,,,62,53.25,,63.48,73.9154929577465,84.37,98.2347417840376,489.68,570.140845070423,08-Apr-18,,1,,,,,,,,,,,,,,,
CAL,11-Apr-18,,8839,,8839,6182,41,,0.46%,142.98%,71.00%,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,6182,8839,1424,20528,3,,,,,69.5,56.5,,88.95,109.41592920354,127.18,156.442477876106,295.37,363.327433628319,08-Apr-18,,0,,,,,,,,,,,,,,,
CAL,10-Apr-18,,10116,,10116,7134,43,,0.43%,141.80%,81.00%,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,7134,10116,1682,11774,2,,27.5,,,82.5,51.5,,86.47,138.52427184466,122.62,196.427184466019,142.72,228.621359223301,08-Apr-18,1,255,,,,,,,,,,,,,,,
CAL,09-Apr-18,,4642,,4642,3338,29,,0.62%,139.07%,83.00%,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,3338,4642,1977,21036,5,,37,,,83.75,50.25,,39.86,66.4278606965174,55.43,92.3781094527363,251.18,418.626865671642,08-Apr-18,,254,,,,,,,,,,,,,,,
CAL,08-Apr-18,,0,,0,,,,#DIV/0!,#DIV/0!,,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,08-Apr-18,,253,,,"An employee made a bad movement and strain his back, not mayor injury only work with restrictions. Full recovery expected in 4 weeks.",,,,,"Outside box touched the raw pellets in the feeder, staff employee missed to sign the GMP letter.",,,,No issues with the orders.,"We had a good week on volumen, leading our production Skins 14oz, 6oz and 3oz. We had acceptable yields on skins and low on cracklins due a no usage of oil mister per customer requirement.","Last week we started the displays order for 99 cents, will be a total of 308 displays pallets. We had a higher overtime than usually on indiorect labor due an extra time worked on the cleaning in the roof.",
CAL,07-Apr-18,,920.3125,,920.3125,836,7,,0.76%,110.09%,100.00%,1160,1149.75,,,,5,0.43%,99.12%,3680,3679,836,0.43%,99.97%,,,,,,,,,,,,,,,,3680,3679,0,16,0.43%,99.97%,4516,4599.3125,1053,19090,7,,,,,53.75,38,% OT,84.02,118.842105263158,85.57,121.034539473684,355.16,502.368421052632,01-Apr-18,,252,,,,,,,,,,,,,,,
CAL,06-Apr-18,,0,,0,,,,#DIV/0!,#DIV/0!,,10080,9090,,,,26,0.29%,90.18%,10080,9090,909,0.29%,90.18%,,,,,,,,,,,,,,,,10080,9090,0,26,0.29%,90.18%,10080,9090,909,909,0,,35.75,,,73.75,49.5,,136.68,203.636363636364,123.25,183.636363636364,12.33,18.3636363636364,01-Apr-18,,251,,,,,,,,,,,,,,,
CAL,05-Apr-18,,91.625,,91.625,90,1,,1.09%,101.81%,0.00%,1600,1580.25,,,,11,0.70%,98.77%,1600,1580.25,602,0.70%,98.77%,,,,,,,,,,,,,,,,1600,1580.25,0,11,0.70%,98.77%,1690,1671.875,629,16140,4,,32.25,,,86.75,49.25,,19.48,34.3147208121827,19.27,33.9467005076142,186.05,327.715736040609,01-Apr-18,,250,,,,,,,,,,,,,,,
CAL,04-Apr-18,,5061,,5061,3500,21.7,,0.43%,144.60%,86.00%,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,3500,5061,2460,26848,3,,,,,55.75,52.25,,62.78,66.9856459330144,90.78,96.8612440191388,481.58,513.837320574163,01-Apr-18,,249,,,,,,,,,,,,,,,
CAL,03-Apr-18,,0,,0,,,,#DIV/0!,#DIV/0!,,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,18.75,,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,01-Apr-18,,248,,,,,,,,,,,,,,,
